label_id,label
/m/09x0r,Speech
/m/05zppz,Male speech, man speaking
/m/02zsn,Female speech, woman speaking
/m/0ytgt,Child speech, kid speaking
/m/01h8n0,Conversation
/m/02qldy,Narration, monologue
/m/0261r1,Babbling
/m/0brhx,Speech synthesizer
/m/07p6fty,Shout
/m/07q4ntr,Bellow
/m/07rwj3x,Whoop
/m/07sr1lc,Yell
/m/04gy_2,Battle cry
/t/dd00135,Children shouting
/m/03qc9zr,Screaming
/m/02rtxlg,Whispering
/m/01j3sz,Laughter
/t/dd00001,Baby laughter
/m/07r660_,Giggle
/m/07s04w4,Snicker
/m/07sq110,Belly laugh
/m/07rgt08,Chuckle, chortle
/m/0463cq4,Crying, sobbing
/t/dd00002,Baby cry, infant cry
/m/07qz6j3,Whimper
/m/07qw_06,Wail, moan
/m/07plz5l,Sigh
/m/015lz1,Singing
/m/0l14jd,Choir
/m/01swy6,Yodeling
/m/02bk07,Chant
/m/01c194,Mantra
/t/dd00003,Male singing
/t/dd00004,Female singing
/t/dd00005,Child singing
/t/dd00006,Synthetic singing
/m/06bxc,Rapping
/m/02fxyj,Humming
/m/07s2xch,Groan
/m/07r4k75,Grunt
/m/01w250,Whistling
/m/0lyf6,Breathing
/m/07mzm6,Wheeze
/m/01d3sd,Snoring
/m/07s0dtb,Gasp
/m/07pyy8b,Pant
/m/07q0yl5,Snort
/m/01b_21,Cough
/m/0dl9sf8,Throat clearing
/m/01hsr_,Sneeze
/m/07ppn3j,Sniff
/m/06h7j,Run
/m/07qv_x_,Shuffle
/m/07pbtc8,Walk, footsteps
/m/03cczk,Chewing, mastication
/m/07pdhp0,Biting
/m/0939n_,Gargling
/m/01g90h,Stomach rumble
/m/03q5_w,Burping, eructation
/m/02p3nc,Hiccup
/m/02_nn,Fart
/m/0k65p,Hands
/m/025_jnm,Finger snapping
/m/0l15bq,Clapping
/m/01jg02,Heart sounds, heartbeat
/m/01jg1z,Heart murmur
/m/053hz1,Cheering
/m/028ght,Applause
/m/07rkbfh,Chatter
/m/03qtwd,Crowd
/m/07qfr4h,Hubbub, speech noise, speech babble
/t/dd00013,Children playing
/m/0jbk,Animal
/m/068hy,Domestic animals, pets
/m/0bt9lr,Dog
/m/05tny_,Bark
/m/07r_k2n,Yip
/m/07qf0zm,Howl
/m/07rc7d9,Bow-wow
/m/0ghcn6,Growling
/t/dd00136,Whimper (dog)
/m/01yrx,Cat
/m/02yds9,Purr
/m/07qrkrw,Meow
/m/07rjwbb,Hiss
/m/07r81j2,Caterwaul
/m/0ch8v,Livestock, farm animals, working animals
/m/03k3r,Horse
/m/07rv9rh,Clip-clop
/m/07q5rw0,Neigh, whinny
/m/01xq0k1,Cattle, bovinae
/m/07rpkh9,Moo
/m/0239kh,Cowbell
/m/068zj,Pig
/t/dd00018,Oink
/m/03fwl,Goat
/m/07q0h5t,Bleat
/m/07bgp,Sheep
/m/025rv6n,Fowl
/m/09b5t,Chicken, rooster
/m/07st89h,Cluck
/m/07qn5dc,Crowing, cock-a-doodle-doo
/m/01rd7k,Turkey
/m/07svc2k,Gobble
/m/09ddx,Duck
/m/07qdb04,Quack
/m/0dbvp,Goose
/m/07qwf61,Honk
/m/01280g,Wild animals
/m/0cdnk,Roaring cats (lions, tigers)
/m/04cvmfc,Roar
/m/015p6,Bird
/m/020bb7,Bird vocalization, bird call, bird song
/m/07pggtn,Chirp, tweet
/m/07sx8x_,Squawk
/m/0h0rv,Pigeon, dove
/m/07r_25d,Coo
/m/04s8yn,Crow
/m/07r5c2p,Caw
/m/09d5_,Owl
/m/07r_80w,Hoot
/m/05_wcq,Bird flight, flapping wings
/m/01z5f,Canidae, dogs, wolves
/m/06hps,Rodents, rats, mice
/m/04rmv,Mouse
/m/07r4gkf,Patter
/m/03vt0,Insect
/m/09xqv,Cricket
/m/09f96,Mosquito
/m/0h2mp,Fly, housefly
/m/07pjwq1,Buzz
/m/01h3n,Bee, wasp, etc.
/m/09ld4,Frog
/m/07st88b,Croak
/m/078jl,Snake
/m/07qn4z3,Rattle
/m/032n05,Whale vocalization
/m/04rlf,Music
/m/04szw,Musical instrument
/m/0fx80y,Plucked string instrument
/m/0342h,Guitar
/m/02sgy,Electric guitar
/m/018vs,Bass guitar
/m/042v_gx,Acoustic guitar
